2 10
0.000	-0.404182
0.010	-0.404182
0.020	-2.411643
0.030	-2.430100
0.040	-1.747202
0.050	-1.045847
0.060	-0.732083
0.070	-0.399863
0.080	-0.381406
0.090	-0.399863
0.100	-0.713627
0.110	-0.381406
0.120	-0.381406
0.130	-0.381406
0.140	-0.381406
0.150	-0.732083
0.160	-0.381406
0.170	-0.381406
0.180	-0.713627
0.190	-0.381406
0.200	-0.381406
0.210	-0.732083
0.220	-0.381406
0.230	-0.713627
0.240	-0.732083
0.250	-0.732083
0.260	-0.381406
0.270	-0.399863
0.280	-0.381406
0.290	-0.713627
0.300	-0.381406
0.310	-0.713627
0.320	-0.362949
0.330	-0.713627
0.340	-0.695170
0.350	-0.713627
0.360	-0.381406
0.370	-0.381406
0.380	-0.713627
0.390	-0.362949
0.400	-0.362949
0.410	-0.713627
0.420	-0.381406
0.430	-0.381406
0.440	-0.381406
0.450	-0.381406
0.460	-0.381406
0.470	-0.381406
0.480	-0.713627
0.490	-0.713627
0.500	-0.362949
0.510	-0.713627
0.520	-0.381406
0.530	-0.732083
0.540	-0.381406
0.550	-0.732083
0.560	-0.732083
0.570	-0.381406
0.580	-0.362949
0.590	-0.362949
0.600	-0.381406
0.610	-0.362949
0.620	-0.713627
0.630	-0.381406
0.640	-0.381406
0.650	-0.381406
0.660	-0.381406
0.670	-0.713627
0.680	-0.362949
0.690	-0.732083
0.700	-0.381406
0.710	-0.713627
0.720	-0.381406
0.730	-0.713627
0.740	-0.713627
0.750	-0.381406
0.760	-0.732083
0.770	-0.713627
0.780	-0.713627
0.790	-0.713627
0.800	-0.381406
0.810	-0.381406
0.820	-0.381406
0.830	-0.732083
0.840	-0.713627
0.850	-0.381406
0.860	-0.399863
0.870	-0.381406
0.880	-0.381406
0.890	-0.381406
0.900	-0.713627
0.910	-0.381406
0.920	-0.713627
0.930	-0.713627
0.940	-0.732083
0.950	-0.732083
0.960	-0.732083
0.970	-0.381406
0.980	-0.713627
0.990	-0.381406
1.000	-0.713627
1.010	-0.381406
1.020	-0.381406
1.030	-0.713627
1.040	-0.381406
1.050	-0.030728
1.060	0.615256
1.070	1.298154
1.080	0.633713
1.090	-0.049185
1.100	-0.732083
1.110	-1.728745
1.120	-2.411643
1.130	-2.743864
1.140	-2.411643
1.150	-1.045847
1.160	-0.030728
1.170	0.301492
1.180	0.633713
1.190	0.301492
1.200	-0.713627
1.210	-1.728745
1.220	-2.430100
1.230	-2.411643
1.240	-2.060966
1.250	-1.396525
1.260	-0.381406
1.270	0.301492
1.280	0.633713
1.290	0.301492
1.300	-0.713627
1.310	-2.060966
1.320	-2.411643
1.330	-2.762321
1.340	-2.411643
1.350	-1.396525
1.360	-0.381406
1.370	0.633713
1.380	0.633713
1.390	0.301492
1.400	-0.381406
1.410	-2.060966
1.420	-2.411643
1.430	-2.411643
1.440	-2.079423
