2 5.5
0.000	-0.404182
0.010	-0.404182
0.020	-1.378068
0.030	-1.396525
0.040	-1.396525
0.050	-1.396525
0.060	-1.396525
0.070	-1.396525
0.080	-1.064304
0.090	-1.064304
0.100	-1.064304
0.110	-1.045847
0.120	-1.045847
0.130	-1.045847
0.140	-1.045847
0.150	-1.064304
0.160	-1.064304
0.170	-1.064304
0.180	-1.045847
0.190	-1.064304
0.200	-1.045847
0.210	-1.045847
0.220	-1.064304
0.230	-0.732083
0.240	-1.064304
0.250	-1.045847
0.260	-1.064304
0.270	-0.732083
0.280	-1.045847
0.290	-1.064304
0.300	-1.064304
0.310	-1.045847
0.320	-1.064304
0.330	-1.045847
0.340	-0.713627
0.350	-1.045847
0.360	-0.713627
0.370	-1.045847
0.380	-1.064304
0.390	-0.732083
0.400	-1.064304
0.410	-0.713627
0.420	-1.045847
0.430	-1.045847
0.440	-1.064304
0.450	-1.064304
0.460	-1.064304
0.470	-1.064304
0.480	-1.045847
0.490	-1.064304
0.500	-1.064304
0.510	-0.713627
0.520	-1.064304
0.530	-1.045847
0.540	-1.045847
0.550	-1.045847
0.560	-1.064304
0.570	-1.064304
0.580	-1.064304
0.590	-1.064304
0.600	-1.045847
0.610	-1.045847
0.620	-1.064304
0.630	-1.064304
0.640	-1.045847
0.650	-0.732083
0.660	-1.045847
0.670	-1.064304
0.680	-1.045847
0.690	-1.045847
0.700	-1.045847
0.710	-0.713627
0.720	-1.045847
0.730	-1.045847
0.740	-1.045847
0.750	-1.045847
0.760	-1.045847
0.770	-1.064304
0.780	-1.064304
0.790	-1.064304
0.800	-1.045847
0.810	-1.045847
0.820	-1.045847
0.830	-1.064304
0.840	-0.713627
0.850	-1.045847
0.860	-0.713627
0.870	-1.064304
0.880	-1.064304
0.890	-1.064304
0.900	-1.064304
0.910	-0.732083
0.920	-1.064304
0.930	-1.064304
0.940	-1.064304
0.950	-1.045847
0.960	-1.064304
0.970	-1.064304
0.980	-1.064304
0.990	-1.064304
1.000	-0.732083
1.010	-1.064304
1.020	-0.713627
1.030	-1.045847
1.040	-1.045847
1.050	-1.045847
1.060	-1.396525
1.070	-2.079423
1.080	-2.411643
1.090	-2.411643
1.100	-2.762321
1.110	-2.411643
1.120	-2.411643
1.130	-1.396525
1.140	-0.732083
1.150	-0.049185
1.160	0.652170
1.170	0.984390
1.180	1.648832
1.190	1.630375
1.200	0.984390
1.210	0.633713
1.220	-0.030728
1.230	-0.732083
1.240	-2.079423
1.250	-2.430100
1.260	-3.094542
1.270	-3.426762
1.280	-3.426762
1.290	-3.094542
1.300	-2.743864
1.310	-2.079423
1.320	-0.732083
1.330	-0.381406
1.340	0.301492
1.350	0.965934
1.360	1.316611
1.370	1.981052
1.380	0.965934
1.390	0.633713
1.400	-0.049185
1.410	-0.713627
1.420	-1.728745
1.430	-2.411643
1.440	-3.094542
